Major,Early Career Pay,Mid-Career Pay,% High Meaning
Petroleum Engineering,92300,182000,69
Electrical Engineering & Computer Science (EECS),101200,152300,46
Applied Economics and Management,60900,139600,67
Operations Research,78400,139600,52
Public Accounting,60000,138800,49
Chemical Engineering/Materials Science & Engineering,74500,137800,60
Quantitative Business Analysis,67900,136200,55
Pharmacy,66300,133200,79
Aeronautics & Astronautics,74000,133100,60
Systems Engineering,74000,132900,54
Electrical Power Engineering,73100,130700,67
Actuarial Mathematics,61900,130500,50
Aerospace Studies,50300,130300,
Chemical Engineering,73500,128900,56
Actuarial Science,64700,128700,42
Information & Computer Science,70300,127600,60
Aeronautical Engineering,71600,125900,64
Operations & Information Systems Management,63800,125100,31
Political Economy,58200,125100,34
Marine Engineering,74700,125000,64
Computer Systems Engineering,74600,124800,49
Nuclear Engineering,73100,124500,63
Computer Science (CS) & Engineering,74000,124000,44
Corporate Accounting & Finance,61200,123600,57
Electrical & Computer Engineering (ECE),73900,123300,49
Computer Engineering (CE),74600,123200,46
Econometrics,60700,123000,30
Building Science,51100,122500,51
Mechatronics,70200,122300,47
Quantitative Economics,62000,121900,45
Foreign Affairs,52200,121800,40
Welding Engineering,76900,121800,44
Economics and Mathematics,65000,121400,33
Electrical Engineering (EE),71800,121400,55
Cognitive Science,64100,121100,41
Control Engineering,69900,121100,63
Geophysics,56900,120600,46
Pharmacology,55000,120600,71
Instrumentation & Control Engineering,69000,120500,
Computational & Applied Mathematics,69700,120100,43
Marine Transportation Management,67800,120100,47
Aerospace Engineering,70700,119800,57
Ocean Engineering (OE),65100,119700,51
Astronomy,54300,119600,39
Mechanical & Aeronautical Engineering,66900,119600,60
Chemical & Biomolecular Engineering,74000,118700,48
Computer Science (CS) & Mathematics,66800,118500,43
Bioscience,48400,118300,
Electrical & Electronics Engineering (EEE),71300,118100,55
Metallurgical Engineering,79100,117700,55
Aeronautical/Aerospace Engineering Technology,73400,117500,58
Materials Engineering,69100,117500,48
Accounting & Economics,61600,117400,43
Industrial & Systems Engineering,69900,117300,49
Optical Science & Engineering,67600,117100,65
Computer Science (CS),70700,116500,42
Biomedical Engineering (BME),67700,116300,72
Materials Science,62700,116200,
Electronics & Communications Engineering,61500,116100,55
Mining Engineering,75200,116100,70
Engineering,66500,116000,59
Applied Mathematics,64400,115500,39
Integrated Science & Technology,62500,115500,56
Petroleum Land Management,60600,115400,70
Bioengineering (BioE),67400,115000,67
Software Engineering,71100,114700,42
Operations Management & Information Systems,61900,114500,39
Statistics,63700,114400,42
Business Analysis,59200,114300,49
Computer & Information Science,60100,114300,55
Physics,62300,113800,49
Physics & Mathematics,61500,113600,47
Physics & Astronomy,54000,112900,43
Construction Engineering Management,64800,112700,55
Physician Assistant Studies,92900,112200,86
Mechanical Engineering (ME),67600,111500,51
Industrial Engineering (IE),68300,111400,45
Entrepreneurship & Marketing,48500,111100,49
Engineering Science,64700,111100,45
International Business & Finance,57700,111100,42
Materials Science & Engineering,69200,111100,47
Ceramic Engineering,66300,110900,45
International Economics,54600,110900,49
Information & Decision Sciences,60600,110800,37
Finance & Marketing,53400,110700,45
Telecommunications Engineering,59800,110600,43
Business & Economics,56800,110500,44
Mathematics & Statistics,59800,110000,42
Paper Science,72400,109900,38
Electronics Engineering,67600,109700,61
Engineering Physics,66700,109700,48
Industrial Distribution,60700,109700,49
Economics,58200,109400,41
Energy Management,64000,109200,66
Structural Engineering (SE),64300,109200,66
Managerial Economics,61500,109100,41
Automotive Engineering,60500,108700,
Business & Information Technology (IT),58200,108700,46
Japanese Language,50000,108700,41
Japanese Studies,49200,108500,22
